# timestamp (ns), altitide (m)
1631087780644675328,4.217200000000000e+01
1631087780879984384,4.218000000000000e+01
1631087781135192064,4.217600000000000e+01
1631087781390842880,4.217600000000000e+01
1631087781623924736,4.217800000000000e+01
1631087781881763840,4.217600000000000e+01
1631087782134181376,4.217500000000000e+01
1631087782389723392,4.217700000000000e+01
1631087782644227840,4.217700000000000e+01
1631087782876851712,4.226100000000000e+01
1631087783134626560,4.240500000000000e+01
1631087783390095872,4.261900000000000e+01
1631087783625827584,4.288100000000000e+01
1631087783885658368,4.320900000000000e+01
1631087784144490752,4.360700000000000e+01
1631087784377562368,4.406400000000000e+01
1631087784644152576,4.456900000000000e+01
1631087784878319616,4.508800000000000e+01
1631087785133543168,4.561800000000000e+01
1631087785389723904,4.616800000000000e+01
1631087785644963328,4.672200000000000e+01
1631087785884901632,4.725200000000000e+01
1631087786116941312,4.778800000000000e+01
1631087786375567104,4.833000000000000e+01
1631087786628163328,4.888600000000000e+01
1631087786882302720,4.944900000000000e+01
1631087787138659328,5.004900000000000e+01
1631087787393806336,5.070200000000000e+01
1631087787640800512,5.143900000000000e+01
1631087787895512064,5.219200000000000e+01
1631087788131021824,5.293000000000000e+01
1631087788386643456,5.364900000000000e+01
1631087788639892480,5.437100000000000e+01
1631087788895025152,5.510200000000000e+01
1631087789129610496,5.582400000000000e+01
1631087789388388096,5.650700000000000e+01
1631087789640949248,5.713800000000000e+01
1631087789886873344,5.775100000000000e+01
1631087790141715968,5.837200000000000e+01
1631087790379824640,5.899000000000000e+01
1631087790615225856,5.961400000000000e+01
1631087790894988544,6.024200000000000e+01
1631087791129514240,6.087800000000000e+01
1631087791386089472,6.152400000000000e+01
1631087791634561024,6.217900000000000e+01
1631087791890182912,6.284400000000000e+01
1631087792145945344,6.350700000000000e+01
1631087792380304896,6.418300000000001e+01
1631087792631843328,6.484999999999999e+01
1631087792888248320,6.550800000000000e+01
1631087793143951360,6.616800000000001e+01
1631087793377746944,6.681900000000000e+01
1631087793633597440,6.746600000000001e+01
1631087793888356096,6.811700000000000e+01
1631087794143498496,6.876900000000001e+01
1631087794400076544,6.942400000000001e+01
1631087794637947392,7.008800000000001e+01
1631087794893845248,7.075900000000000e+01
1631087795128892160,7.143900000000001e+01
1631087795383831808,7.212100000000000e+01
1631087795640188672,7.281000000000000e+01
1631087795895379200,7.350700000000001e+01
1631087796129602048,7.420800000000000e+01
1631087796385625088,7.490700000000000e+01
1631087796641440000,7.559300000000000e+01
1631087796883999232,7.628700000000001e+01
1631087797139626752,7.697300000000000e+01
1631087797396384768,7.766900000000000e+01
1631087797633864960,7.836300000000000e+01
1631087797882341632,7.905200000000001e+01
1631087798138712064,7.973500000000000e+01
1631087798393948672,8.044000000000000e+01
1631087798628305408,8.114900000000000e+01
1631087798878333696,8.186100000000000e+01
1631087799134076160,8.257500000000000e+01
1631087799390088960,8.329600000000001e+01
1631087799645062400,8.401900000000001e+01
1631087799879197184,8.474700000000000e+01
1631087800144750080,8.549600000000000e+01
1631087800403100416,8.627400000000000e+01
1631087800624932864,8.706000000000000e+01
1631087800887534848,8.783600000000000e+01
1631087801143776768,8.860100000000000e+01
1631087801378444800,8.936100000000000e+01
1631087801633759232,9.012700000000000e+01
1631087801876938496,9.087500000000000e+01
1631087802132026624,9.162400000000000e+01
1631087802387895040,9.236600000000000e+01
1631087802644411392,9.310600000000001e+01
1631087802878784000,9.383600000000000e+01
1631087803138388480,9.458300000000000e+01
1631087803392807936,9.532700000000000e+01
1631087803625768704,9.608000000000000e+01
1631087803895779584,9.683700000000000e+01
1631087804129244672,9.760100000000000e+01
1631087804385718784,9.836300000000000e+01
1631087804640999168,9.912300000000000e+01
1631087804892880384,9.988100000000000e+01
1631087805128014592,1.006490000000000e+02
1631087805406022912,1.014250000000000e+02
1631087805646818048,1.022020000000000e+02
1631087805880889600,1.029750000000000e+02
1631087806136556288,1.037510000000000e+02
1631087806394261248,1.045380000000000e+02
1631087806638324224,1.053200000000000e+02
1631087806893470208,1.060860000000000e+02
1631087807126661632,1.068560000000000e+02
1631087807405406208,1.076140000000000e+02
1631087807632947200,1.083750000000000e+02
1631087807888862976,1.091280000000000e+02
1631087808144793344,1.098720000000000e+02
1631087808402113280,1.106130000000000e+02
1631087808638573568,1.113690000000000e+02
1631087808886256384,1.121180000000000e+02
1631087809143092224,1.128780000000000e+02
1631087809399243776,1.136340000000000e+02
1631087809627431168,1.143990000000000e+02
1631087809882789120,1.151590000000000e+02
1631087810140684544,1.159180000000000e+02
1631087810396158208,1.166860000000000e+02
1631087810630803456,1.174450000000000e+02
1631087810886068224,1.181970000000000e+02
1631087811141973760,1.189460000000000e+02
1631087811399830528,1.196950000000000e+02
1631087811632892672,1.204420000000000e+02
1631087811880726784,1.211650000000000e+02
1631087812136983808,1.218760000000000e+02
1631087812392980224,1.225730000000000e+02
1631087812630374656,1.232720000000000e+02
1631087812883684608,1.239630000000000e+02
1631087813138887680,1.246220000000000e+02
1631087813395214080,1.252600000000000e+02
1631087813629114624,1.258590000000000e+02
1631087813884963840,1.263940000000000e+02
1631087814134020352,1.268890000000000e+02
1631087814391083264,1.273770000000000e+02
1631087814645755136,1.278640000000000e+02
1631087814879301632,1.283540000000000e+02
1631087815138075904,1.288560000000000e+02
1631087815393666816,1.293560000000000e+02
1631087815645963520,1.298580000000000e+02
1631087815890763520,1.303670000000000e+02
1631087816127241216,1.308820000000000e+02
1631087816381569536,1.313980000000000e+02
1631087816643622144,1.319160000000000e+02
1631087816877933312,1.324300000000000e+02
1631087817133179648,1.329340000000000e+02
1631087817390049792,1.334340000000000e+02
1631087817641863936,1.339460000000000e+02
1631087817877501184,1.344620000000000e+02
1631087818132258304,1.349830000000000e+02
1631087818390534400,1.354930000000000e+02
1631087818643817728,1.359870000000000e+02
1631087818877856000,1.364660000000000e+02
1631087819133613568,1.369170000000000e+02
1631087819391081728,1.373200000000000e+02
1631087819637505024,1.376780000000000e+02
1631087819893049600,1.379890000000000e+02
1631087820149583104,1.382710000000000e+02
1631087820405578496,1.384710000000000e+02
1631087820642354432,1.385720000000000e+02
1631087820876366080,1.386060000000000e+02
1631087821155609856,1.386130000000000e+02
1631087821389501696,1.386030000000000e+02
1631087821625031680,1.386130000000000e+02
1631087821879069952,1.386240000000000e+02
1631087822134636544,1.386440000000000e+02
1631087822391617280,1.386550000000000e+02
1631087822636894720,1.386590000000000e+02
1631087822893231360,1.386470000000000e+02
1631087823127387648,1.386230000000000e+02
1631087823406060800,1.386030000000000e+02
1631087823632730368,1.385750000000000e+02
1631087823889027072,1.385580000000000e+02
1631087824144349184,1.385510000000000e+02
1631087824401562880,1.385400000000000e+02
